time, x, y, z, vx, vy, vz, gtx, gty, gtz, err
52.224000, -15.663846, -14.861743, 0.000000, 3.784840, 13.638652, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.256000, -15.663846, -14.861743, 0.000000, 3.851507, 13.705319, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.292000, -15.663846, -14.861743, 0.000000, 3.918173, 13.771985, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.324000, -15.663846, -14.861743, 0.000000, 3.984840, 13.838652, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.356000, -15.663846, -14.861743, 0.000000, 4.051507, 13.905319, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.392000, -15.663846, -14.861743, 0.000000, 4.118173, 13.971985, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.424000, -15.663846, -14.861743, 0.000000, 4.184840, 14.038652, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.456000, -15.663846, -14.861743, 0.000000, 4.251507, 14.105319, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.492000, -15.663846, -14.861743, 0.000000, 4.318173, 14.171985, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.524000, -15.663846, -14.861743, 0.000000, 4.384840, 14.238652, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.556000, -15.663846, -14.861743, 0.000000, 4.451507, 14.305319, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.592000, -15.663846, -14.861743, 0.000000, 4.518173, 14.371985, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.624000, -15.663846, -14.861743, 0.000000, 4.584840, 14.438652, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.656000, -15.663846, -14.861743, 0.000000, 4.651507, 14.505319, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.692000, -15.663846, -14.861743, 0.000000, 4.718173, 14.571985, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.724000, -15.663846, -14.861743, 0.000000, 4.784840, 14.638652, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.756000, -15.663846, -14.861743, 0.000000, 4.851507, 14.705319, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.792000, -15.663846, -14.861743, 0.000000, 4.918173, 14.771985, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.824000, -15.663846, -14.861743, 0.000000, 4.984840, 14.838652, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.856000, -15.663846, -14.861743, 0.000000, 5.051507, 14.905319, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.892000, -15.663846, -14.861743, 0.000000, 5.118173, 14.971985, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.924000, -15.663846, -14.861743, 0.000000, 5.184840, 15.038652, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.956000, -15.663846, -14.861743, 0.000000, 5.251507, 15.105319, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
52.992000, -15.663846, -14.861743, 0.000000, 5.318173, 15.171985, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
53.024000, -15.663846, -14.861743, 0.000000, 5.384840, 15.238652, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
53.056000, -15.663846, -14.861743, 0.000000, 5.451507, 15.305319, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
53.092000, -15.663846, -14.861743, 0.000000, 5.518173, 15.371985, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
53.124000, -15.663846, -14.861743, 0.000000, 5.584840, 15.438652, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
53.156000, -15.663846, -14.861743, 0.000000, 5.651507, 15.505319, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
53.192000, -15.663846, -14.861743, 0.000000, 5.718173, 15.571985, 0.000000, 0.000000, 0.000000, 0.000000, 21.592301
53.224000, -15.680459, -14.932044, 0.000000, 5.199191, 5.151786, 0.000000, 0.000000, 0.000000, 0.000000, 21.652777
53.256000, -15.680459, -14.932044, 0.000000, 5.265858, 5.218453, 0.000000, 0.000000, 0.000000, 0.000000, 21.652777
53.292000, -15.680459, -14.932044, 0.000000, 5.332524, 5.285120, 0.000000, 0.000000, 0.000000, 0.000000, 21.652777
53.324000, -15.680459, -14.932044, 0.000000, 5.399191, 5.351786, 0.000000, 0.000000, 0.000000, 0.000000, 21.652777
