time, x, y, z, vx, vy, vz, gtx, gty, gtz, err
52.224000, -15.663846, -14.861743, -1.737638, 4.264973, 13.641556, 13.215571, 0.000000, 0.000000, 0.000000, 21.662107
52.256000, -15.663846, -14.861743, -1.737638, 4.331639, 13.708222, 13.282237, 0.000000, 0.000000, 0.000000, 21.662107
52.292000, -15.663846, -14.861743, -1.737638, 4.398306, 13.774889, 13.348904, 0.000000, 0.000000, 0.000000, 21.662107
52.324000, -15.663846, -14.861743, -1.737638, 4.464973, 13.841556, 13.415571, 0.000000, 0.000000, 0.000000, 21.662107
52.356000, -15.663846, -14.861743, -1.737638, 4.531639, 13.908222, 13.482237, 0.000000, 0.000000, 0.000000, 21.662107
52.392000, -15.663846, -14.861743, -1.737638, 4.598306, 13.974889, 13.548904, 0.000000, 0.000000, 0.000000, 21.662107
52.424000, -15.663846, -14.861743, -1.737638, 4.664973, 14.041556, 13.615571, 0.000000, 0.000000, 0.000000, 21.662107
52.456000, -15.663846, -14.861743, -1.737638, 4.731639, 14.108222, 13.682237, 0.000000, 0.000000, 0.000000, 21.662107
52.492000, -15.663846, -14.861743, -1.737638, 4.798306, 14.174889, 13.748904, 0.000000, 0.000000, 0.000000, 21.662107
52.524000, -15.663846, -14.861743, -1.737638, 4.864973, 14.241556, 13.815571, 0.000000, 0.000000, 0.000000, 21.662107
52.556000, -15.663846, -14.861743, -1.737638, 4.931639, 14.308222, 13.882237, 0.000000, 0.000000, 0.000000, 21.662107
52.592000, -15.663846, -14.861743, -1.737638, 4.998306, 14.374889, 13.948904, 0.000000, 0.000000, 0.000000, 21.662107
52.624000, -15.663846, -14.861743, -1.737638, 5.064973, 14.441556, 14.015571, 0.000000, 0.000000, 0.000000, 21.662107
52.656000, -15.663846, -14.861743, -1.737638, 5.131639, 14.508222, 14.082237, 0.000000, 0.000000, 0.000000, 21.662107
52.692000, -15.663846, -14.861743, -1.737638, 5.198306, 14.574889, 14.148904, 0.000000, 0.000000, 0.000000, 21.662107
52.724000, -15.663846, -14.861743, -1.737638, 5.264973, 14.641556, 14.215571, 0.000000, 0.000000, 0.000000, 21.662107
52.756000, -15.663846, -14.861743, -1.737638, 5.331639, 14.708222, 14.282237, 0.000000, 0.000000, 0.000000, 21.662107
52.792000, -15.663846, -14.861743, -1.737638, 5.398306, 14.774889, 14.348904, 0.000000, 0.000000, 0.000000, 21.662107
52.824000, -15.663846, -14.861743, -1.737638, 5.464973, 14.841556, 14.415571, 0.000000, 0.000000, 0.000000, 21.662107
